Brand,Method,Protein,Fat,Carbs
Alpo Dog Food (Dry),Guaranteed Analysis,21,8,NA
Alpo Dog Food (Dry),Dry Matter Basis,24,9,59
Alpo Dog Food (Dry),Calorie Weighted Basis,23,21,56
Atta Boy! Dog Food (Dry),Guaranteed Analysis,23,9,NA
Atta Boy! Dog Food (Dry),Dry Matter Basis,26,10,56
Atta Boy! Dog Food (Dry),Calorie Weighted Basis,24,23,53
Beneful Dog Food (Dry),Guaranteed Analysis,27,12,NA
Beneful Dog Food (Dry),Dry Matter Basis,31,14,47
Beneful Dog Food (Dry),Calorie Weighted Basis,28,30,42
Big Red Dog Food (Dry),Guaranteed Analysis,22,12,NA
Big Red Dog Food (Dry),Dry Matter Basis,24,13,54
Big Red Dog Food (Dry),Calorie Weighted Basis,22,29,49
Bruiser Dog Food (Dry),Guaranteed Analysis,21,10,NA
Bruiser Dog Food (Dry),Dry Matter Basis,26,12,54
Bruiser Dog Food (Dry),Calorie Weighted Basis,23,27,50
Buckeye Dog Food (Dry),Guaranteed Analysis,22,15,NA
Buckeye Dog Food (Dry),Dry Matter Basis,24,17,51
Buckeye Dog Food (Dry),Calorie Weighted Basis,21,35,44
Caliber Dog Food (Dry),Guaranteed Analysis,22,12,NA
Caliber Dog Food (Dry),Dry Matter Basis,25,14,53
Caliber Dog Food (Dry),Calorie Weighted Basis,22,30,48
Chef Michael’s Dog Food (Dry),Guaranteed Analysis,28,16,NA
Chef Michael’s Dog Food (Dry),Dry Matter Basis,32,18,42
Chef Michael’s Dog Food (Dry),Calorie Weighted Basis,27,38,36
Country Acres Dog Food (Dry),Guaranteed Analysis,21,8,NA
Country Acres Dog Food (Dry),Dry Matter Basis,24,9,59
Country Acres Dog Food (Dry),Calorie Weighted Basis,23,21,56
Country Squire Dog Food (Dry),Guaranteed Analysis,21,10,NA
Country Squire Dog Food (Dry),Dry Matter Basis,24,11,57
Country Squire Dog Food (Dry),Calorie Weighted Basis,22,26,52
Country Vet Choice Dog Food (Dry),Guaranteed Analysis,26,18,NA
Country Vet Choice Dog Food (Dry),Dry Matter Basis,29,20,43
Country Vet Choice Dog Food (Dry),Calorie Weighted Basis,24,40,36
Dad’s Dog Food (Dry),Guaranteed Analysis,21,10,NA
Dad’s Dog Food (Dry),Dry Matter Basis,24,11,57
Dad’s Dog Food (Dry),Calorie Weighted Basis,22,26,52
Doggy Bag Dog Food (Dry),Guaranteed Analysis,18,6,NA
Doggy Bag Dog Food (Dry),Dry Matter Basis,21,7,65
Doggy Bag Dog Food (Dry),Calorie Weighted Basis,20,16,64
Everpet Dog Food (Dry),Guaranteed Analysis,21,10,NA
Everpet Dog Food (Dry),Dry Matter Basis,24,11,57
Everpet Dog Food (Dry),Calorie Weighted Basis,22,26,52
Extreme Dog Fuel (Dry),Guaranteed Analysis,24,18,NA
Extreme Dog Fuel (Dry),Dry Matter Basis,27,20,45
Extreme Dog Fuel (Dry),Calorie Weighted Basis,22,40,38
Gayoso Farms Dog Food (Dry),Guaranteed Analysis,19,8,NA
Gayoso Farms Dog Food (Dry),Dry Matter Basis,21,9,62
Gayoso Farms Dog Food (Dry),Calorie Weighted Basis,20,21,59
Gravy Train Dog Food (Dry),Guaranteed Analysis,21,8,NA
Gravy Train Dog Food (Dry),Dry Matter Basis,23,9,60
Gravy Train Dog Food (Dry),Calorie Weighted Basis,22,21,57
Hi-Point Dog Food (Dry),Guaranteed Analysis,21,10,NA
Hi-Point Dog Food (Dry),Dry Matter Basis,24,11,57
Hi-Point Dog Food (Dry),Calorie Weighted Basis,22,26,52
Hubbard Life Country Balance (Dry),Guaranteed Analysis,21,9,NA
Hubbard Life Country Balance (Dry),Dry Matter Basis,23,10,59
Hubbard Life Country Balance (Dry),Calorie Weighted Basis,22,23,55
Hubbard Life Dog Food (Dry),Guaranteed Analysis,22,12,NA
Hubbard Life Dog Food (Dry),Dry Matter Basis,24,13,54
Hubbard Life Dog Food (Dry),Calorie Weighted Basis,22,29,49
Hungry Hound Dog Food (Dry),Guaranteed Analysis,16,6,NA
Hungry Hound Dog Food (Dry),Dry Matter Basis,18,7,68
Hungry Hound Dog Food (Dry),Calorie Weighted Basis,18,16,67
Hunter’s Special Dog Food (Dry),Guaranteed Analysis,22,16,NA
Hunter’s Special Dog Food (Dry),Dry Matter Basis,25,18,49
Hunter’s Special Dog Food (Dry),Calorie Weighted Basis,21,38,41
Joy Dog Food (Dry),Guaranteed Analysis,26,12,NA
Joy Dog Food (Dry),Dry Matter Basis,29,13,50
Joy Dog Food (Dry),Calorie Weighted Basis,26,29,45
Kal Kan Dog Food (Dry),Guaranteed Analysis,20,8,NA
Kal Kan Dog Food (Dry),Dry Matter Basis,23,9,60
Kal Kan Dog Food (Dry),Calorie Weighted Basis,22,21,57
Kibble Select Complete (Dry),Guaranteed Analysis,20,7,NA
Kibble Select Complete (Dry),Dry Matter Basis,25,9,58
Kibble Select Complete (Dry),Calorie Weighted Basis,24,20,56
Kibbles ‘n Bits (Dry),Guaranteed Analysis,19,12,NA
Kibbles ‘n Bits (Dry),Dry Matter Basis,23,15,54
Kibbles ‘n Bits (Dry),Calorie Weighted Basis,21,31,48
Kroger Value Chunk Dog Food (Dry),Guaranteed Analysis,21,8,NA
Kroger Value Chunk Dog Food (Dry),Dry Matter Basis,24,9,59
Kroger Value Chunk Dog Food (Dry),Calorie Weighted Basis,23,21,56
Maintain Chunks Dog Food (Dry),Guaranteed Analysis,16,7,NA
Maintain Chunks Dog Food (Dry),Dry Matter Basis,18,7,67
Maintain Chunks Dog Food (Dry),Calorie Weighted Basis,17,17,66
Muenster Premium Dog Food (Dry),Guaranteed Analysis,26,18,NA
Muenster Premium Dog Food (Dry),Dry Matter Basis,29,20,43
Muenster Premium Dog Food (Dry),Calorie Weighted Basis,24,40,36
National Dog Food (Dry),Guaranteed Analysis,26,15,NA
National Dog Food (Dry),Dry Matter Basis,29,17,46
National Dog Food (Dry),Calorie Weighted Basis,25,35,40
Ol’ Roy Dog Food (Dry),Guaranteed Analysis,21,10,NA
Ol’ Roy Dog Food (Dry),Dry Matter Basis,24,11,57
Ol’ Roy Dog Food (Dry),Calorie Weighted Basis,22,26,52
Ol’ Roy Skin and Coat (Dry),Guaranteed Analysis,23,12,NA
Ol’ Roy Skin and Coat (Dry),Dry Matter Basis,26,14,52
Ol’ Roy Skin and Coat (Dry),Calorie Weighted Basis,23,30,47
Old Glory Dog Food (Dry),Guaranteed Analysis,26,18,NA
