Brand,Method,Protein,Fat,Carbs
Alpo Dog Food (Dry),Guaranteed Analysis,21,8,0
Alpo Dog Food (Dry),Dry Matter Basis,24,9,59
Alpo Dog Food (Dry),Calorie Weighted Basis,23,21,56
Atta Boy! Dog Food (Dry),Guaranteed Analysis,23,9,0
Atta Boy! Dog Food (Dry),Dry Matter Basis,26,10,56
Atta Boy! Dog Food (Dry),Calorie Weighted Basis,24,23,53
Beneful Dog Food (Dry),Guaranteed Analysis,27,12,0
Beneful Dog Food (Dry),Dry Matter Basis,31,14,47
Beneful Dog Food (Dry),Calorie Weighted Basis,28,30,42
Big Red Dog Food (Dry),Guaranteed Analysis,22,12,0
Big Red Dog Food (Dry),Dry Matter Basis,24,13,54
Big Red Dog Food (Dry),Calorie Weighted Basis,22,29,49
Bruiser Dog Food (Dry),Guaranteed Analysis,21,10,0
Bruiser Dog Food (Dry),Dry Matter Basis,26,12,54
Bruiser Dog Food (Dry),Calorie Weighted Basis,23,27,50
Buckeye Dog Food (Dry),Guaranteed Analysis,22,15,0
Buckeye Dog Food (Dry),Dry Matter Basis,24,17,51
Buckeye Dog Food (Dry),Calorie Weighted Basis,21,35,44
Caliber Dog Food (Dry),Guaranteed Analysis,22,12,0
Caliber Dog Food (Dry),Dry Matter Basis,25,14,53
Caliber Dog Food (Dry),Calorie Weighted Basis,22,30,48
Chef Michael’s Dog Food (Dry),Guaranteed Analysis,28,16,0
Chef Michael’s Dog Food (Dry),Dry Matter Basis,32,18,42
Chef Michael’s Dog Food (Dry),Calorie Weighted Basis,27,38,36
Country Acres Dog Food (Dry),Guaranteed Analysis,21,8,0
Country Acres Dog Food (Dry),Dry Matter Basis,24,9,59
Country Acres Dog Food (Dry),Calorie Weighted Basis,23,21,56
Country Squire Dog Food (Dry),Guaranteed Analysis,21,10,0
Country Squire Dog Food (Dry),Dry Matter Basis,24,11,57
Country Squire Dog Food (Dry),Calorie Weighted Basis,22,26,52
Country Vet Choice Dog Food (Dry),Guaranteed Analysis,26,18,0
Country Vet Choice Dog Food (Dry),Dry Matter Basis,29,20,43
Country Vet Choice Dog Food (Dry),Calorie Weighted Basis,24,40,36
Dad’s Dog Food (Dry),Guaranteed Analysis,21,10,0
Dad’s Dog Food (Dry),Dry Matter Basis,24,11,57
Dad’s Dog Food (Dry),Calorie Weighted Basis,22,26,52
Doggy Bag Dog Food (Dry),Guaranteed Analysis,18,6,0
Doggy Bag Dog Food (Dry),Dry Matter Basis,21,7,65
Doggy Bag Dog Food (Dry),Calorie Weighted Basis,20,16,64
Everpet Dog Food (Dry),Guaranteed Analysis,21,10,0
Everpet Dog Food (Dry),Dry Matter Basis,24,11,57
Everpet Dog Food (Dry),Calorie Weighted Basis,22,26,52
Extreme Dog Fuel (Dry),Guaranteed Analysis,24,18,0
Extreme Dog Fuel (Dry),Dry Matter Basis,27,20,45
Extreme Dog Fuel (Dry),Calorie Weighted Basis,22,40,38
Gayoso Farms Dog Food (Dry),Guaranteed Analysis,19,8,0
Gayoso Farms Dog Food (Dry),Dry Matter Basis,21,9,62
Gayoso Farms Dog Food (Dry),Calorie Weighted Basis,20,21,59
Gravy Train Dog Food (Dry),Guaranteed Analysis,21,8,0
Gravy Train Dog Food (Dry),Dry Matter Basis,23,9,60
Gravy Train Dog Food (Dry),Calorie Weighted Basis,22,21,57
Hi-Point Dog Food (Dry),Guaranteed Analysis,21,10,0
Hi-Point Dog Food (Dry),Dry Matter Basis,24,11,57
Hi-Point Dog Food (Dry),Calorie Weighted Basis,22,26,52
Hubbard Life Country Balance (Dry),Guaranteed Analysis,21,9,0
Hubbard Life Country Balance (Dry),Dry Matter Basis,23,10,59
Hubbard Life Country Balance (Dry),Calorie Weighted Basis,22,23,55
Hubbard Life Dog Food (Dry),Guaranteed Analysis,22,12,0
Hubbard Life Dog Food (Dry),Dry Matter Basis,24,13,54
Hubbard Life Dog Food (Dry),Calorie Weighted Basis,22,29,49
Hungry Hound Dog Food (Dry),Guaranteed Analysis,16,6,0
Hungry Hound Dog Food (Dry),Dry Matter Basis,18,7,68
Hungry Hound Dog Food (Dry),Calorie Weighted Basis,18,16,67
Hunter’s Special Dog Food (Dry),Guaranteed Analysis,22,16,0
Hunter’s Special Dog Food (Dry),Dry Matter Basis,25,18,49
